Year Created,Source,Creator,Thumbnail,Graph Type,Title,Notes,Brief Creator,Brief Title,Source URL,Page #,Historical period,Folder Link,Priority,Status,Website,ID,Domain,Teacher,Slow Reveal Order,Notes
2000,"U.S Census Bureau 2000, Page 14, Top",U.S. Census Bureau 2000,,Map,"Householders Living in the Same Home for Over 30 Years, 2000",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 14, Bottom",U.S. Census Bureau 2000,,Map,"Householders Who Were Recent Movers, 2000",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 15, Upper Left",U.S. Census Bureau 2000,,Map,Population Living in the Same Home in 1995 and 2000,,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 15, Upper Right",U.S. Census Bureau 2000,,Map,Population Living in Different States in 1995 to 2000,,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 15, Lower Left",U.S. Census Bureau 2000,,Map,"Percent Residing in State of Birth, 2000",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 15, Lower Left",U.S. Census Bureau 2000,,Map,"Percent Residing in State of Birth, 2000",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
??? 1900-1930,"Northwestern University, NATMAP1","Kelley, Florence",,Chart,Hull House Nationality Map 1,,,,https://homicide.northwestern.edu/docs_fk/homicide/HullHouse/NATMAP1.pdf,,,https://drive.google.com/drive/folders/1f0QIOXjQXNo1nxYdmj3IVIJmJF1Ls2OY,Recreation Complete,Recreation Complete,,47,northwestern,,,
??? 1900-1930,"Northwestern University, WAGEMAP1","Kelley, Florence",,Chart,Hull House Wage Map 1 ,,,,https://homicide.northwestern.edu/docs_fk/homicide/HullHouse/WAGEMAP1.pdf,,,https://drive.google.com/drive/folders/1WH_h5rw1NWJN3P06OCWg_lvMX7ROhjSl,Recreation Complete,Recreation Complete,,48,northwestern,,,
1854,UCLA,"Snow, John",,Map,Cholera Map,,,,https://upload.wikimedia.org/wikipedia/commons/2/27/Snow-cholera-map-1.jpg,,,https://drive.google.com/drive/folders/1G840O7Rzptm5tdCSYIpom8kfuH4hm5yF,,Recreation Complete,,28,wikimedia,,,
1900 c.a.,Dubois Book,Du Bois,,Map,"Distribution of Negros in Dougherty County, Albany",,,,Needs Book,,,,,,,,#N/A,,,
2024,"Historical Differences in Female-Owned Manufacturing Establishments: The United States, 1850-1880","Ruveyda Gozen, Richard Hornbeck, Anders Humlum, and Martin Rotemberg",,Chart,"Figure 2, Panel A. Female Ownership Shares Across the 10 Most-Common Industries",,,,https://bfi.uchicago.edu/wp-content/uploads/2024/06/BFI_WP_2024-73.pdf,pg. 7,,https://drive.google.com/drive/folders/1JITiXX5rh8hcqGrVPd4siBB3p4JMxMgO,,Recreation Complete,,86,uchicago,,,
2024,"Historical Differences in Female-Owned Manufacturing Establishments: The United States, 1850-1880","Ruveyda Gozen, Richard Hornbeck, Anders Humlum, and Martin Rotemberg",,Chart,"Figure 2, Panel B. Female Ownership Shares Across the 10 Most-Common Industries",,,,https://bfi.uchicago.edu/wp-content/uploads/2024/06/BFI_WP_2024-73.pdf,pg. 7,,https://drive.google.com/drive/folders/1LfU7L4vfxej47T7pN5NDWv4ADzH8W6tm,,Recreation Complete,,87,uchicago,,,
1898,Rank of the most populous cities at each census: 1790-1890 Copy 1,"U.S. Census Bureau, Henry Gannett",,Chart,Rank of the most populous cities at each census: 1790-1890,Mock-up here: https://docs.google.com/presentation/d/14hn9BYoacmMFSJEP3zvs9TGGS9woKqRLy_HB4TxErf4/edit?usp=sharing,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=21&r=0.087,0.058,0.777,0.425,0",pg. 21,,https://drive.google.com/drive/folders/1bKcR7AboMtCaIMtZVK3XLSN67m0jBQ9b,,Recreation Complete,,89,loc,,,
1900,"Federal Reserve Bank of St. Louis, Fraser","U.S. Census Bureau, Henry Gannett",,Chart,Rank of states and territories in population at each census: 1790 - 1890,,,,https://fraser.stlouisfed.org/title/statistical-atlas-5588/statistical-atlas-574198?page=83&deep=true,pg. 83,,https://drive.google.com/drive/folders/1w55dGA9-aVSWzW7tKtDTDc5qPH6mutqZ,,Recreation Complete,,90,stlouisfed,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 9)","U.S. Census Bureau, Henry Gannett",,Chart,Rank of the most populous cities at each census: 1790-1900,,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=10&r=0.113,-0.107,0.764,0.418,0",pg. 10,,https://drive.google.com/drive/folders/1rS1wQfRSDo7wbYXywG2GOz6IS_gwU6Lb,,Recreation Complete,,91,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 9)","U.S. Census Bureau, Henry Gannett",,Chart,Rank of states and territories in population at each census: 1790 - 1900,,,,https://fraser.stlouisfed.org/title/statistical-atlas-5588/statistical-atlas-574198?page=82&deep=true,pg. 82,,https://drive.google.com/drive/folders/1XwOI-qk8J6uU16vRrEaW2oTRN0i1izgs,,Recreation Complete,,92,stlouisfed,,,
2022,Timeline: The Domestication of Animals,Visual Capitalist,,Chart,Timeline: The Domestication of Animals,,,,https://www.visualcapitalist.com/the-domestication-of-animals/,,,https://drive.google.com/drive/folders/11D5YDTBLyS16iLIJph-CaCDU9xDQlxAa,,Recreation Complete,,25,visualcapitalist,,,
1894,"Image 15 of Statistics of the Negroes in the United States,","U.S. Census Bureau, Henry Gannett",,Map,Proportion of Negros to Total Population in 1890,,,,https://www.loc.gov/resource/rbaapc.10601/?sp=15,15,,https://drive.google.com/drive/folders/1gbTAo8S8HklDlmz2wXoZu9bBOoEWkUmT,,Recreation Complete,,93,loc,,,
1894,"Image 15 of Statistics of the Negroes in the United States,","U.S. Census Bureau, Henry Gannett",,Map,Density of Negro Population in 1890,,,,https://www.loc.gov/resource/rbaapc.10601/?sp=15,15,,https://drive.google.com/drive/folders/1iqgARXN_LQ677p7wJ3zMgS_rrlONmN5Z,,Recreation Complete,,94,loc,,,
1903,Federal Reserve of St. Louis,U.S. Census Office & Henry Gannett,,pie charts,The Total Population and its Elements at Each Census,,,,https://fraser.stlouisfed.org/title/statistical-atlas-5588/population-574189?page=13&deep=true,p. 13,,https://drive.google.com/drive/folders/1Nz-yxEYy3-O509hwdcMeN8F87E4VMfDQ,,Slow Reveal Lesson Complete,,95,stlouisfed,Amanda,"1.        Show the outline of all of the pie charts
2.        Show the grey slice in all of the pie charts
3.        Show the pink slice in all of the pie charts
4.        Show the green, orange, and yellow slices in all of the pie charts
5.        Display the year above each circle
6.        Add a label at the top: The Total Population and Its Elements at Each Census
7.        Show the legend for:
o        1790–1840
o        1850–1900 (updated color key)
",
1860,Library of Congress,"Rulison, Duane.
King & Baird.",,choropleth map,National political chart & map of the United States.,,,,https://www.loc.gov/item/2012586610/,,,https://drive.google.com/drive/folders/1mN5lgYAUMDxAPa8H3k2onHafWemEajaA,,Slow Reveal Lesson Complete,,96,loc,Larry,,"Focus on the map portion, not the surrounding text/images"
1860,Library of Congress,"Rulison, Duane.
King & Baird.",,choropleth map,National political chart & map of the United States.,,,,,,,https://drive.google.com/drive/folders/1a5MpFO1lxH5jKe9TGDyPMEyn4nvufr_H,,Slow Reveal Lesson Complete,,102,#N/A,Larry,,Secondary Map
1903,Federal Reserve of St. Louis,U.S. Census Office & Henry Gannett,,choropleth map,Proportion of Foreign-Born to Total Population of the United States at the Twelfth Census,,,,https://fraser.stlouisfed.org/title/statistical-atlas-5588/population-574189?page=39,,,,High,,,97,stlouisfed,Sadye,"Just the colors no words/borders, no little side squares for the key
Borders of US 
Words on the map 
Legend colors 
Legend numbers
Map title  
",Not possible at this time
1898,Library of Congress,U.S. Census Office & Henry Gannett,,stacked 100% bars and pie charts,Visualizations 34 of eleventh census,,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=32&st=image&r=-0.214,-0.478,1.578,1.42,0",,,,High,,,98,loc,Sadye,"Colors only 
Outline for all charts 
First set of circles words and info in the upper left corner
Words and info on the upper right  corner 
Words and info on bottom left corner 
Words and info on bottom right corner 
Title reveal 
",Need to follow up as all in one slide would be impossible for students to see. Does Sadye want all four?
1856,Library of Congress,Elizabeth Palmer Peabody,,Waffle-like plot,"Chronological history of the United States, arranged with plates on Bem's principle",,,,"https://www.loc.gov/resource/gdcmassbookdig.chronologicalhis00peab/?sp=139&st=image&pdfPage=undefined&r=-0.808,-0.625,2.615,2.242,0",,,https://drive.google.com/drive/folders/15GLOtHXlHGklr5yMYSW-IvVetZ6x8NH6,,Slow Reveal Lesson Complete,,99,loc,Katie,"1: the empty 10x10 grid
2: add dark red spaces
3: add green and bright red spaces
4: add yellow spaces
5: add F/U/W in 1789 space at lower right
6: add years 1705 and 1751
7: add additional years
",See more details: https://hdsr.mitpress.mit.edu/pub/oraonikr/release/3   and    https://www.loc.gov/resource/gdcmassbookdig.chronologicalhis00peab/?sp=18
,Guide to U.S. Elections: 1860,,,Map,,Special Request from Teacher Partner,,,,,,,,,,101,#N/A,,,
1920,,Sam L. Rodgers,,Line Chart,"Philadelphia, femalee: Annual death rate per 100,000 estimated population, from influenza and pneumonia",Data on page 38,,,https://www2.census.gov/library/publications/1920/demographics/1918-special-mortality-tables.pdf,p. 24,,,Medium,Claimed and In Progress,,103,census,,,
2018,"Pollution, Infectious Disease, and Mortality: Evidence from the 1918 Spanish Influenza Pandemic","Karen Clay, Joshua Lewis, Edson Severini",,Line Chart,"Influenza and Pneumonia Death Rates, March 1918–June 1919","Scholarly Article, Figure 1",,,https://www.cambridge.org/core/journals/journal-of-economic-history/article/pollution-infectious-disease-and-mortality-evidence-from-the-1918-spanish-influenza-pandemic/8A69CC00A169F36B11A49113404C93B0,,,,,,,104,cambridge,,,
1922,Bill Files of the Committee on the Judiciary,Colored Women’s Clubs of Michigan,,Map,Red Record of Lynching Map,,,,https://catalog.archives.gov/id/149268727,,,,,,,105,archives,,,
