Year Created,Source,Creator,Thumbnail,Graph Type,Title,Notes,Brief Creator,Brief Title,Source URL,Page #,Historical period,Folder Link,Priority,Status,Website,ID,Domain,Teacher,Slow Reveal Order,Notes
1900,The Georgia Negro Collection/Exhibition (Plate 19),Du Bois,,Chart,Acres of Land Owned by Negroes in Georgia,,,,https://www.loc.gov/item/2013650438/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 20),Du Bois,,Map,"Land Owned by Negroes in Georgia, U.S.A. 1870-1900",,,,https://www.loc.gov/item/2013650439/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 21),Du Bois,,Graph,Valuation of Town and City Property Owned by Georgia Negroes,,,,https://www.loc.gov/resource/ppmsca.33883/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 22),Du Bois,,Other,Assessed Valuation of all Taxable Property Owned by Georgia Negroes,,,,https://www.loc.gov/item/2013650442/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 23),Du Bois,,Map,Negro Property in Two Cities of Georgia,,,,https://www.loc.gov/item/2013650443/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 24),Du Bois,,Chart,Value of Farming Tools,,,,https://loc.getarchive.net/media/the-georgia-negro-value-of-farming-tools,,,,,,,,getarchive,,,
1900,The Georgia Negro Collection/Exhibition (Plate 25),Du Bois,,Other,Assessed Value of Household and Kitchen Furniture Owned by Georgia Negroes,,,,https://www.loc.gov/item/2013650445/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 26),Du Bois,,Other,Occupations of Georgia Negroes,,,,https://www.loc.gov/item/2013650447/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 27),Du Bois,,Chart,Occupations of Negroes and Whites in Georgia,,,,https://www.loc.gov/item/2005676812/,,,,,,,,loc,,,
1990,The Georgia Negro Collection/Exhibition (Plate 28),Du Bois,,Chart,Occupations.,,,,,,,,,,,,#N/A,,,
1990,The Georgia Negro Collection/Exhibition (Plate 29),Du Bois,,Chart,Occupations and Income. ,,,,,,,,,,,,#N/A,,,
1900,The Georgia Negro Collection/Exhibition (Plate 30),Du Bois,,Other,"Condition of 300 Negro Farm Tenants After 1 Years Toil, 1898",,,,https://www.loc.gov/pictures/resource/ppmsca.33892/?co=anedub,,,,,,,,loc,,,
,,,,,,,,,,,,,,,,,#N/A,,,
,,,,,,,,,,,,,,,,,#N/A,,,
,,,,,,,,,,,,,,,,,#N/A,,,
,,,,,,,,,,,,,,,,,#N/A,,,
,,,,,,,,,,,,,,,,,#N/A,,,
,,,,,,,,,,,,,,,,,#N/A,,,
1900,The Georgia Negro Collection/Exhibition (Plate 31),Du Bois,,Chart,"Income and Expenditure of 150 Negro Families in Atlanta, G.A., U.S.A.",,,,https://www.loc.gov/pictures/item/2013650354/,,,,,,,,loc,,,
,The Georgia Negro Collection/Exhibition (Plate 32),Du Bois,,,Family Budgets,,,,,,,,,,,,#N/A,,,
,The Georgia Negro Collection/Exhibition (Plate 33),Du Bois,,,(Family Budgets Backside of page),,,,,,,,,,,,#N/A,,,
,The Georgia Negro Collection/Exhibition (Plate 34),Du Bois,,,"Albany, Dougherty County, GA",,,,,,,https://drive.google.com/drive/folders/1GARQFFrIJ_LFyqPIgVdDofNoghAvrRag,,Recreation Complete,,36,#N/A,,,
,The Georgia Negro Collection/Exhibition (Plate 35),Du Bois,,,"Mcintosh County, Georgia.",,,,,,,,,,,,#N/A,,,
,The Georgia Negro Collection/Exhibition (Plate 36),Du Bois,,,"Darien, Mcintosh CO., GA.",,,,,,,,,,,,#N/A,,,
1900,The Georgia Negro Collection/Exhibition (Plate 37),Du Bois,,Chart,A Series of Statistical Charts Illustrating the Condition of the Descendants of Former African American Slaves now Resident in the United States of America,,,,https://www.loc.gov/pictures/item/2005676836/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 38),Du Bois,,Map,Distribution of Negroes in the United States.,,,,https://www.loc.gov/item/2013650365,,,https://drive.google.com/drive/folders/1MonR2-mSf6tBQP-FRziPlpiFZDD_9Xax,,Recreation Complete,,37,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 39),Du Bois,,Chart,Increase of the Negro Population in the United States of Ameica,,,,https://www.loc.gov/item/2013650366/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 40),Du Bois,,Graph,Comparative rate of increase of the white and Negro elements of the population of the United States,,,,https://www.loc.gov/resource/ppmsca.33902/,,,https://drive.google.com/drive/folders/1Nc5DhvoS4Qo7B_Vd-dBAnOTTpJWXyOpp,,Recreation Complete,,80,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 41),Du Bois,,Map,Negro Population of the United States Compared With the Total Population of Other Countries,,,,https://medium.com/nightingale/discovering-a-new-chart-from-w-e-b-du-boiss-the-exhibition-of-american-negros-part-6-66e7b340b90c,,,,,,,,#N/A,,,
1900,The Georgia Negro Collection/Exhibition (Plate 42),Du Bois,,Map,Proportion of Negroes in the Total Population of the United States,,,,https://medium.com/nightingale/discovering-a-new-chart-from-w-e-b-du-boiss-the-exhibition-of-american-negros-part-6-66e7b340b90c,,,,,,,,#N/A,,,
